date,departure time,trip time
2014-08-12,4:00,37:26
2014-08-13,3:30,31:20
2014-08-14,3:40,31:33
2014-08-18,11:36,27:32
2014-08-22,4:10,49:49
2014-08-29,3:29,58:33
2014-09-02,3:38,30:09
2014-09-03,3:31,33:54
2014-09-04,3:41,30:22
2014-09-08,3:46,29:22
2014-09-18,3:22,31:27
2014-09-22,3:37,27:20
2014-09-23,3:34,33:35
2014-09-24,3:24,31:15
2014-09-25,3:47,31:52
2014-09-26,2:20,30:37
2014-09-30,3:43,33:50
2014-10-01,3:33,38:57,RAIN
2014-10-02,3:41,41:17
2014-10-03,3:19,44:01
2014-10-24,3:21,34:21
2014-10-27,3:43,35:54,RAIN
2014-10-28,3:46,31:16
2014-10-29,3:22,29:22
2014-10-30,4:12,34:58
2014-10-31,3:12,33:15
2014-11-07,3:49,35:57
2014-11-10,3:18,40:38,SNOW
2014-11-11,3:16,29:22,SNOW
2014-11-12,3:38,30:12,
2014-11-13,1:16,28:41
2014-11-24,3:48,52:32
2014-12-05,2:34,32:37
2014-12-08,3:21,30:26
2014-12-10,3:16,27:04
2014-12-11,3:37,36:01
