origin,destination,count,color
DEN,PDX,5,#014990
DEN,DAY,20,#b2b930
DEN,PHX,24,#77CAF0
DEN,IND,10,#b2b930
DEN,BNA,1,#b2b930
DEN,SAN,4,#0066CC
DEN,BOI,6,#94A2A3
DEN,GRR,5,#A88054
DEN,FWA,2,#043D6B
DEN,LGA,1,#FEDF4F
DEN,ATL,1,#FEE801
ATL,EWR,1,#FEE801
DEN,ORD,12,#298EBB
DEN,MCI,1,#617C77
DEN,SNA,1,#AF81FF
DEN,MSN,42,#8B0019
DEN,MSP,1,#387401
MSP,MSN,1,#8B0019
ORD,DAY,1,#b2b930
DAY,DEN,1,#989891
DEN,ORD,1,#002399
DEN,ATL,1,
ATL,FRA,1,
FRA,ATL,1,
ATL,DEN,1,
DEN,ORD,1,
ORD,FRA,1,
FRA,ORD,1,
ORD,DEN,1,
DEN,SDF,1,
DEN,MSP,1,
MSP,PHL,1,
PHL,DTW,1,
DTW,DEN,1,
DEN,ORD,1,
ORD,RDU,1,
RDU,IAH,1,
IAH,DEN,1,
