Day,Location,Food,City,Extra
2013-01-07,Whole Foods,Burrito,Denver,Chicken
2013-01-08,Illegal Pete's,Burrito,Denver, (Green Chile)
2013-01-09,Big City,Burrito,Denver, (Potato)
2013-01-10,Chipotle,Burrito,Denver, (Steak)
2013-01-11,La Fogata,Burrito,Denver, (Steak)
2013-01-14,Jason's Deli,Sandwich,Denver, (French Dip)
2013-01-15,Lark Burger,Burger,Denver,
2013-01-16,Whole Foods,Pizza,Denver,
2013-01-17,Whole Foods,Burrito,Denver, (Chicken)
2013-01-18,Noodles & Company,Mac & Cheese,Denver,
2013-01-21,Illegal Pete's,Burrito,Denver, (Green Chile)
2013-01-22,Whole Foods,Pizza,Denver,
2013-01-23,Illegal Pete's,Burrito,Denver, (Green Chile)
2013-01-24,Noodles & Company,Mac & Cheese,Denver,
2013-01-25,Jason's Deli,Sandwich,Denver, (Pastrami)
2013-01-28,Whole Foods,Burrito,Denver, (Chicken)
2013-01-29,Whole Foods,Sandwich,Denver,
2013-01-30,Lark Burger,Burger,Denver,
2013-01-31,Illegal Pete's,Burrito,Denver, (Green Chile)
2013-02-01,zPizza,Pizza,Denver,
2013-02-04,Whole Foods,Pizza,Denver,
2013-02-05,Chipotle,Burrito,Denver, (Steak)
2013-02-06,Noodles & Company,Mac & Cheese,Denver,
2013-02-07,Whole Foods,Burrito,Denver, (Chicken)
2013-02-08,Lark Burger,Burger,Denver,
2013-02-11,Noodles & Company,Mac & Cheese,Denver,
2013-02-12,Brother's,BBQ,Denver,
2013-02-13,Illegal Pete's,Burrito,Denver, (Green Chile)
2013-02-14,Jason's Deli,Sandwich,Denver, (French Dip)
2013-02-15,Noodles & Company,Mac & Cheese,Denver,
2013-02-18,Whole Foods,Burrito,Denver, (Chicken)
2013-02-19,Lark Burger,Burger,Denver,
2013-02-20,Big City,Burrito,Denver, (Potato)
2013-02-21,Lark Burger,Burger,Denver,
2013-02-22,Jason's Deli,Sandwich,Denver, (French Dip)
2013-02-25,Whole Foods,Sandwich,Denver, (Turkey Bacon)
2013-02-26,Illegal Pete's,Burrito,Denver, (Green Chile)
2013-02-27,Whole Foods,Pizza,Denver,
2013-02-28,CSU,Sandwich,Fort Collins, (Turkey)
2013-03-01,Chipotle,Burrito,Denver, (Steak)
2013-03-04,Jason's Deli,Sandwich,Denver, (Pastrami)
2013-03-05,Illegal Pete's,Burrito,Denver, (Green Chile)
2013-03-06,Whole Foods,Burrito,Denver, (Chicken)
2013-03-07,Lark Burger,Burger,Denver,
2013-03-08,Chipotle,Burrito,Aurora, (Steak)
2013-03-11,Illegal Pete's,Burrito,Denver, (Green Chile)
2013-03-12,Jason's Deli,Sandwich,Denver, (French Dip)
2013-03-13,DIA,Pizza,Denver,
2013-03-14,Heritage Conference Room,Manicotti,Ft. Wayne,
2013-03-15,IND,Burger,Indianapolis,
2013-03-18,Lark Burger,Burger,Denver,
2013-03-19,Jason's Deli,Sandwich,Denver, (Pastrami)
